Summary,Product ID
"Dynamic Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1000
"Standard Lease, 12 months, Flexi: No, Tax Saving: No, Renewal: Quarterly, Maintenance: Garage",P1001
"Dynamic Lease, 12 months, Flexi: Yes, Tax Saving: No, Renewal: Quarterly, Maintenance: Roadside",P1002
"Corporate Saver, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage",P1003
"Dynamic Lease, 12 months, Flexi: Yes, Tax Saving: No, Renewal: Quarterly, Maintenance: Roadside",P1004
"Eco Mobility, 48 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage",P1005
"Eco Mobility, 36 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage",P1006
"Standard Lease, 48 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1007
"FamilyRide Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1008
"Premium EV Lease, 12 months, Flexi: Yes, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Roadside",P1009
"Premium EV Lease, 36 months, Flexi: No, Tax Saving: Yes, Renewal: Annual, Maintenance: Garage",P1010
"Value Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1011
"Dynamic Lease, 24 months, Flexi: Yes, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Roadside",P1012
"Dynamic Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1013
"Standard Lease, 24 months, Flexi: No, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Garage",P1014
"Eco Mobility, 12 months, Flexi: Yes, Tax Saving: Yes, Renewal: Quarterly, Maintenance: Roadside",P1015
"Value Lease, 24 months, Flexi: No, Tax Saving: No, Renewal: Bi-Annual, Maintenance: Garage",P1016
"Dynamic Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1017
"Value Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1018
"Standard Lease, 36 months, Flexi: No, Tax Saving: No, Renewal: Annual, Maintenance: Garage",P1019
